"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,9076651.27822584,5180231.29978551,15903845.5348373,16.0212158805958,0.286156082108008,9076.65127822584,5180.23129978551,15903.8455348373
"2",1979,8120758.79107888,5238556.52765875,12588720.3840784,15.9099341549491,0.223666155031403,8120.75879107888,5238.55652765875,12588.7203840784
"3",1980,12364878.8602078,8095587.18183441,18885625.6863841,16.3303706618988,0.216096309124229,12364.8788602078,8095.58718183441,18885.6256863841
"4",1981,9731244.00139566,5818818.14742099,16274285.8456009,16.0908522981373,0.262374497980804,9731.24400139566,5818.81814742099,16274.2858456009
"5",1982,16244853.7153635,11717882.8464522,22520729.6993465,16.6032867221426,0.166666348680352,16244.8537153635,11717.8828464522,22520.7296993465
"6",1983,6974835.94662005,5155660.43491796,9435907.79423342,15.7578193651973,0.15419343668963,6974.83594662005,5155.66043491796,9435.90779423342
"7",1984,3221934.16140051,2019824.35088902,5139486.37951139,14.9854924084322,0.238255040156087,3221.93416140051,2019.82435088902,5139.48637951139
"8",1985,2185439.7455204,1409653.42314312,3388171.02337881,14.5973276227935,0.223714921958078,2185.4397455204,1409.65342314312,3388.17102337881
"9",1986,1081710.44164174,616058.243825139,1899329.3106372,13.8940540885641,0.287228389549237,1081.71044164174,616.058243825139,1899.3293106372
"10",1987,1905031.93067906,1065080.79018845,3407390.96070324,14.4600093279138,0.296662652436375,1905.03193067906,1065.08079018845,3407.39096070324
"11",1988,2354311.17179437,1520248.45625327,3645970.54569374,14.671758746594,0.223154309220957,2354.31117179437,1520.24845625327,3645.97054569374
"12",1989,4368142.04320466,3169867.78863905,6019388.24641146,15.2898483149268,0.163598861778221,4368.14204320466,3169.86778863905,6019.38824641146
"13",1990,4682466.7347951,3188542.21239087,6876338.23295765,15.3593356091203,0.196055248235114,4682.4667347951,3188.54221239087,6876.33823295765
"14",1991,5816094.12525894,3729076.95648575,9071132.41925419,15.5761394819124,0.22677364950165,5816.09412525894,3729.07695648575,9071.13241925419
"15",1992,5156077.84463174,3205469.82669341,8293679.29734221,15.4556867408,0.242513390635649,5156.07784463174,3205.46982669341,8293.67929734221
"16",1993,6819558.17050565,4960021.6116613,9376244.15417283,15.7353052433377,0.162444100997615,6819.55817050565,4960.0216116613,9376.24415417283
"17",1994,4546750.86858778,3104009.8942284,6660076.53501459,15.3299234410241,0.194757707887138,4546.75086858778,3104.0098942284,6660.07653501459
"18",1995,4346734.81998027,2584776.82560496,7309762.06845511,15.2849355051151,0.265201698299677,4346.73481998027,2584.77682560496,7309.76206845511
"19",1996,6448693.53405601,4542603.58120119,9154584.49164948,15.6793881153958,0.178767179642615,6448.69353405601,4542.60358120119,9154.58449164948
"20",1997,5830425.95850242,4257179.03578508,7985068.650351,15.5786006188657,0.160453620894706,5830.42595850242,4257.17903578508,7985.068650351
"21",1998,4121131.39096683,2924725.6709651,5806945.96769069,15.2316382930854,0.174965993888079,4121.13139096683,2924.7256709651,5806.94596769069
"22",1999,1238541.61199371,739227.358646693,2075119.7946032,14.0294451260502,0.263313163068311,1238.54161199371,739.227358646693,2075.1197946032
"23",2000,1343224.09351031,821650.255805468,2195886.81758258,14.1105833219806,0.250776658100236,1343.22409351031,821.650255805468,2195.88681758258
"24",2001,1791370.51502675,1169860.23594429,2743069.83305312,14.3984915357088,0.217400266478977,1791.37051502675,1169.86023594429,2743.06983305312
"25",2002,1076207.879865,637627.148973623,1816458.72913016,13.8889541979443,0.267068791353028,1076.207879865,637.627148973623,1816.45872913016
"26",2003,1069166.46340234,628971.559911377,1817438.17896208,13.8823898966891,0.270693023433545,1069.16646340234,628.971559911377,1817.43817896208
"27",2004,1075940.28870878,612595.988706951,1889740.5895691,13.888705524399,0.287374973960341,1075.94028870878,612.595988706951,1889.7405895691
"28",2005,980631.275848461,532291.760126062,1806598.882809,13.7959518022944,0.311742852332274,980.631275848461,532.291760126062,1806.598882809
"29",2006,2701388.22551086,1828243.93085516,3991534.29242634,14.8092763564374,0.199192381103111,2701.38822551086,1828.24393085516,3991.53429242634
"30",2007,3416531.62317695,2400732.76101839,4862135.64529213,15.0441364491756,0.180029779194663,3416.53162317695,2400.73276101839,4862.13564529213
"31",2008,3174735.40369683,2197973.14395909,4585563.25457708,14.9707348494179,0.187599699201635,3174.73540369683,2197.97314395909,4585.56325457708
"32",2009,3811462.9904932,2694194.06812623,5392057.79560001,15.1535236604048,0.177000186032481,3811.4629904932,2694.19406812623,5392.05779560001
"33",2010,5573985.19005677,3878082.40746081,8011513.84488371,15.5336208300519,0.185089863060997,5573.98519005677,3878.08240746081,8011.51384488371
"34",2011,4693228.09634001,3198533.99635663,6886401.70445743,15.3616311971198,0.195630156209356,4693.22809634001,3198.53399635663,6886.40170445743
"35",2012,4038404.25203566,2413734.21920646,6756629.94421206,15.2113601847895,0.262593911939075,4038.40425203566,2413.73421920646,6756.62994421206
"36",2013,1909860.7193198,1167316.01766766,3124747.63645302,14.4625408755418,0.25118992486506,1909.8607193198,1167.31601766766,3124.74763645302
"37",2014,2745100.03033375,1873879.94397585,4021375.11571312,14.8253280731849,0.19480276194625,2745.10003033375,1873.87994397585,4021.37511571312
"38",2015,1623005.31096199,1011267.66839859,2604796.25891942,14.2997901188031,0.241369179991109,1623.00531096199,1011.26766839859,2604.79625891942
"39",2016,1875112.20215018,1210644.61520612,2904275.72756671,14.444179056743,0.223226316726664,1875.11220215018,1210.64461520612,2904.27572756671
"40",2017,711463.723287305,387571.889894904,1306030.29464055,13.4750797089681,0.309915427467811,711.463723287305,387.571889894904,1306.03029464055
"41",2018,1076093.85363471,639210.966079172,1811574.02372688,13.8888482404676,0.265748970565472,1076.09385363471,639.210966079172,1811.57402372688
"42",2019,1723257.44509522,1105475.99301613,2686278.34601269,14.3597269211188,0.226504344736804,1723.25744509522,1105.47599301613,2686.27834601269
"44",2021,964674.425421793,556007.411067901,1673712.84723617,13.7795459404121,0.281132226079495,964.674425421793,556.007411067901,1673.71284723617
"45",2022,1144872.69166545,677910.559103631,1933490.28499337,13.9508040024704,0.267368873667915,1144.87269166545,677.910559103631,1933.49028499337
"46",2023,991728.764923479,578098.048905612,1701313.37588588,13.8072049264241,0.275365344786067,991.728764923479,578.098048905612,1701.31337588588
"47",2024,1288820.1485943,669010.745786136,2482856.04661069,14.0692377443309,0.334537954809844,1288.8201485943,669.010745786136,2482.85604661069
