"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,11330189.4201993,6411718.28548452,20021652.0099176,16.2429813513286,0.290486712810597,11330.1894201993,6411.71828548452,20021.6520099176
"2",1979,6551143.90491511,4311182.46425439,9954922.30235007,15.6951502343351,0.213487318914234,6551.14390491511,4311.18246425439,9954.92230235007
"3",1980,9887161.04943028,6742151.25019668,14499222.8725987,16.1067476097554,0.195339304306531,9887.16104943028,6742.15125019668,14499.2228725987
"4",1981,9779221.78063965,6179190.57665069,15476651.4236195,16.0957704663132,0.2342250284854,9779.22178063965,6179.19057665069,15476.6514236195
"5",1982,14034753.6046297,10295297.9581075,19132453.4310879,16.4570472118442,0.158089319110897,14034.7536046297,10295.2979581075,19132.4534310879
"6",1983,6101237.70383282,4538218.00171667,8202581.16833303,15.6240022108293,0.151001360654498,6101.23770383282,4538.21800171667,8202.58116833303
"7",1984,2955764.05934051,1993414.63146017,4382701.43933358,14.8992677403208,0.200977223044633,2955.76405934051,1993.41463146017,4382.70143933358
"8",1985,1913125.74368523,1253906.13579541,2918918.73455859,14.4642489774097,0.215552344434125,1913.12574368523,1253.90613579541,2918.91873455859
"9",1986,947571.605449056,547781.307435718,1639143.09463484,13.7616577861165,0.279610430693001,947.571605449056,547.781307435718,1639.14309463484
"10",1987,1925157.52089247,1131458.16089803,3275623.97650412,14.4705183513913,0.271178750671682,1925.15752089247,1131.45816089803,3275.62397650412
"11",1988,2289429.55847636,1480339.0525827,3540734.6000098,14.6438132433976,0.222469156449168,2289.42955847636,1480.3390525827,3540.7346000098
"12",1989,4435903.83782924,3081596.28620639,6385405.81923269,15.3052419495414,0.185862422463231,4435.90383782924,3081.59628620639,6385.40581923269
"13",1990,4909776.96892288,3119090.20216611,7728506.81516834,15.4067390748944,0.231477294012172,4909.77696892288,3119.09020216611,7728.50681516834
"14",1991,5781427.1195251,3446831.20488566,9697283.54872807,15.5701611166644,0.263879971849255,5781.4271195251,3446.83120488566,9697.28354872807
"15",1992,6411694.77364049,3281740.72119239,12526836.6281514,15.6736341892143,0.341715280092795,6411.69477364049,3281.74072119239,12526.8366281514
"16",1993,8261881.79188462,4345482.78083364,15707964.8420514,15.9271629393909,0.327820063090653,8261.88179188461,4345.48278083364,15707.9648420514
"17",1994,5816304.43300559,2862224.01943157,11819269.5707022,15.5761756408774,0.361775081940008,5816.30443300559,2862.22401943157,11819.2695707022
"18",1995,5654378.28007215,2570968.81044355,12435776.5851838,15.5479407198565,0.402123391650423,5654.37828007215,2570.96881044355,12435.7765851838
"19",1996,7357934.37172256,3876966.59279551,13964318.9908271,15.8112897952978,0.326907127122008,7357.93437172256,3876.96659279551,13964.3189908271
"20",1997,6847334.4461469,4011692.82654099,11687332.7656585,15.7393700025576,0.272783655881282,6847.3344461469,4011.69282654099,11687.3327656585
"21",1998,5197026.25104518,3176959.9195069,8501549.44927502,15.4635971451699,0.251107597746847,5197.02625104518,3176.9599195069,8501.54944927502
"22",1999,1537138.89550686,844455.518539369,2798011.18259835,14.2454333863668,0.305610740400019,1537.13889550686,844.455518539369,2798.01118259835
"23",2000,1497098.53172473,865224.400460809,2590430.88995021,14.2190394806912,0.279747643450683,1497.09853172473,865.224400460809,2590.43088995021
"24",2001,2081039.52688728,1288506.96548018,3361041.59968848,14.5483780993748,0.244587853763223,2081.03952688728,1288.50696548018,3361.04159968848
"25",2002,1152037.96060469,662795.346110574,2002415.18058698,13.9570430716089,0.282056983199049,1152.03796060469,662.795346110574,2002.41518058698
"26",2003,1236076.09947687,700648.351131139,2180671.83235544,14.0274524842605,0.289643629926108,1236.07609947687,700.648351131139,2180.67183235544
"27",2004,1250977.60411916,692998.29298671,2258223.40667401,14.039435886906,0.30135914568771,1250.97760411916,692.99829298671,2258.22340667401
"28",2005,1157817.36810053,615776.965784075,2176991.236053,13.9620472114651,0.322152400771059,1157.81736810053,615.776965784075,2176.991236053
"29",2006,2885890.97002632,1821902.75951528,4571246.54286995,14.8753442386787,0.234673829273444,2885.89097002632,1821.90275951528,4571.24654286995
"30",2007,4388956.80800431,2791267.82919278,6901144.22595491,15.2946021276569,0.230920395262828,4388.95680800431,2791.26782919278,6901.14422595491
"31",2008,3272510.45611383,2040559.09841913,5248230.59213091,15.0010679719066,0.240990946522063,3272.51045611383,2040.55909841913,5248.23059213091
"32",2009,4644312.15312544,2608733.22977895,8268241.12540487,15.3511538359763,0.294280166178437,4644.31215312544,2608.73322977895,8268.24112540487
"33",2010,6860156.09643687,3282219.87523345,14338387.8766296,15.7412407540258,0.376134570415939,6860.15609643687,3282.21987523345,14338.3878766296
"34",2011,6430473.34837167,2648670.1119169,15611981.0081565,15.6765587091142,0.452554479915987,6430.47334837167,2648.6701119169,15611.9810081565
"35",2012,5404232.62382339,1887244.25280061,15475331.4040071,15.5026930237352,0.536777602197646,5404.23262382339,1887.24425280061,15475.3314040071
