"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,10334225.3133304,6401221.64835334,16683723.6223731,16.1509717907008,0.244378152766834,10334.2253133304,6401.22164835334,16683.7236223731
"2",1979,11841632.4272721,6835306.24576053,20514700.2198468,16.2871320518414,0.280372610678014,11841.6324272721,6835.30624576053,20514.7002198468
"3",1980,11156185.4583015,7677562.15050543,16210936.6932087,16.2275046516772,0.190662700035097,11156.1854583015,7677.56215050543,16210.9366932087
"4",1981,11132269.0148727,6853456.33574118,18082469.2459489,16.2253585672426,0.247501950813741,11132.2690148727,6853.45633574118,18082.4692459489
"5",1982,14582777.9592243,10561181.012839,20135760.6454729,16.4953517985786,0.164623499614109,14582.7779592243,10561.181012839,20135.7606454729
"6",1983,7045753.98778332,5149828.85810918,9639669.71022636,15.7679357221139,0.159932368111753,7045.75398778333,5149.82885810918,9639.66971022636
"7",1984,3268777.25070362,2191428.71347984,4875771.066151,14.999926543496,0.204015113022809,3268.77725070362,2191.42871347984,4875.771066151
"8",1985,2890255.73054511,1696923.3399908,4922778.76736265,14.8768555442517,0.271703041024115,2890.25573054511,1696.9233399908,4922.77876736265
"9",1986,1143618.41096974,626990.69169143,2085936.97999045,13.9497078384348,0.306648933071168,1143.61841096974,626.99069169143,2085.93697999045
"10",1987,2455884.50272921,1405740.87095396,4290526.66488419,14.7139975405673,0.284659571762476,2455.88450272921,1405.74087095396,4290.52666488419
"11",1988,2604118.9463817,1665887.76542888,4070763.72588537,14.7726049596014,0.227930835145586,2604.1189463817,1665.88776542888,4070.76372588537
"12",1989,4783274.88873401,3371425.73925724,6786362.93090472,15.380635993044,0.17846741823511,4783.27488873401,3371.42573925724,6786.36293090472
"13",1990,5482684.6345822,3758252.58479238,7998352.99094041,15.5171054357855,0.192677400967338,5482.6846345822,3758.25258479238,7998.35299094041
"14",1991,6482451.07612243,4508980.73168475,9319661.01762858,15.684609249297,0.185221549001769,6482.45107612243,4508.98073168475,9319.66101762858
"15",1992,5981334.24383485,4230013.54072258,8457741.09043632,15.6041542187379,0.17675756765776,5981.33424383485,4230.01354072258,8457.74109043632
"16",1993,7359718.67040777,5433205.40405983,9969337.59711618,15.8115322658451,0.154845924043708,7359.71867040777,5433.20540405983,9969.33759711618
"17",1994,4932085.35832093,3467974.82245396,7014314.47087348,15.4112724501565,0.179692635191122,4932.08535832093,3467.97482245396,7014.31447087348
