"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,12341974.8903309,6385201.38830722,23855840.2359083,16.3285166033716,0.336242410968595,12341.9748903309,6385.20138830722,23855.8402359083
"2",1979,8296089.859506,5338852.40732118,12891367.2276496,15.9312948604994,0.224888610776134,8296.089859506,5338.85240732118,12891.3672276496
"3",1980,12479229.6279809,8190301.70900782,19014094.67451,16.3395761904731,0.214858487164755,12479.2296279809,8190.30170900782,19014.09467451
"4",1981,12077441.672744,7052701.65380032,20682088.1583635,16.3068499459843,0.274458426553478,12077.441672744,7052.70165380032,20682.0881583635
"5",1982,15123475.9305551,11001599.9061323,20789660.2470149,16.5317587918821,0.162353761698498,15123.4759305551,11001.5999061323,20789.6602470149
"6",1983,6446018.67758088,4754900.40162651,8738596.66492869,15.6789732388992,0.155251287057986,6446.01867758088,4754.90040162651,8738.59666492869
"7",1984,3104227.54550643,2044395.80936272,4713484.83994627,14.9482754647848,0.21309708342493,3104.22754550643,2044.39580936272,4713.48483994627
"8",1985,1975536.11787001,1291382.85727597,3022142.45064498,14.496350371567,0.216905101502287,1975.53611787001,1291.38285727597,3022.14245064498
"9",1986,1031143.23013766,593400.830054578,1791801.27024919,13.846178676859,0.281920124843298,1031.14323013766,593.400830054578,1791.80127024919
"10",1987,2120729.46105719,1186449.24663862,3790717.09956237,14.5672706728687,0.296329472990979,2120.72946105719,1186.44924663862,3790.71709956237
"11",1988,2347406.99228571,1532825.12263136,3594878.18021433,14.6688218693801,0.217452359661596,2347.40699228571,1532.82512263136,3594.87818021433
"12",1989,4238636.67055333,3047354.03076079,5895619.82086935,15.2597522355392,0.168354111085308,4238.63667055333,3047.35403076079,5895.61982086934
"13",1990,4568035.43002686,3007687.34188791,6937871.30043996,15.3345937864234,0.213224208843546,4568.03543002686,3007.68734188791,6937.87130043996
"14",1991,5385691.49269809,3386837.16490387,8564236.02383136,15.4992562712289,0.236662112539193,5385.69149269809,3386.83716490387,8564.23602383136
"15",1992,5547742.54346493,3140003.13343102,9801725.03679664,15.5289016540526,0.290396814814053,5547.74254346492,3140.00313343102,9801.72503679664
"16",1993,6884825.19301077,4319216.16032578,10974402.8033875,15.7448303002817,0.237884881850432,6884.82519301077,4319.21616032578,10974.4028033875
"17",1994,4697691.76653174,2837911.34855507,7776249.93274587,15.3625818325407,0.257149079063469,4697.69176653174,2837.91134855507,7776.24993274587
"18",1995,4408383.18573491,2552501.66894597,7613645.29109016,15.2990185556499,0.278798017255307,4408.38318573491,2552.50166894597,7613.64529109016
"19",1996,5918605.07321949,3932187.57469218,8908498.22073448,15.5936113495715,0.20862877534146,5918.60507321949,3932.18757469218,8908.49822073447
"20",1997,5609365.54881267,3946146.54504412,7973596.90043002,15.5399481782001,0.179441090999772,5609.36554881267,3946.14654504412,7973.59690043002
"21",1998,4390227.08481336,3062075.42306418,6294454.31391154,15.2948915114614,0.183823798521846,4390.22708481336,3062.07542306418,6294.45431391154
"22",1999,1283725.9591843,767907.980293987,2146028.40519088,14.0652773130266,0.26217426924893,1283.7259591843,767.907980293987,2146.02840519088
"23",2000,1319484.30111788,813883.691376753,2139173.98682781,14.0927515372556,0.24652431961901,1319.48430111788,813.883691376753,2139.17398682781
"24",2001,1838044.46936118,1203735.71097069,2806602.34680989,14.4242127760345,0.215959276690026,1838.04446936118,1203.73571097069,2806.60234680989
"25",2002,1070778.52764594,642477.438042017,1784602.20916367,13.8838965377993,0.260621910699101,1070.77852764594,642.477438042017,1784.60220916367
"26",2003,1149000.2078617,676196.854123159,1952392.22072124,13.9544027377375,0.270496409608441,1149.0002078617,676.196854123159,1952.39222072124
"27",2004,1139776.36194875,650485.674633803,1997108.01623489,13.9463426273969,0.286162438296637,1139.77636194875,650.485674633803,1997.10801623489
"28",2005,1062819.22391121,573929.983836706,1968157.67519932,13.8764355806899,0.314379701396128,1062.81922391121,573.929983836706,1968.15767519932
"29",2006,2475875.85422716,1672229.47268671,3665741.66145768,14.7221047718798,0.20022636504335,2475.87585422716,1672.22947268671,3665.74166145768
