"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,13430642.1372755,7796416.49160658,23136545.9264207,16.4130493810031,0.277492149526172,13430.6421372755,7796.41649160658,23136.5459264207
"2",1979,10310891.9431318,6113372.71359381,17390481.1048959,16.1487113646791,0.266699893976784,10310.8919431318,6113.37271359381,17390.4811048959
"3",1980,12526453.4089611,8231469.04179321,19062458.257474,16.3433532388386,0.214227499602531,12526.4534089611,8231.46904179321,19062.458257474
"4",1981,10487609.840883,6232455.13555652,17647934.5269711,16.1657051032077,0.26552743388422,10487.609840883,6232.45513555652,17647.9345269711
"5",1982,16548610.8892392,11544754.1627943,23721295.2741787,16.6218127220797,0.18371307748539,16548.6108892392,11544.7541627943,23721.2952741787
"6",1983,7714465.42176103,5513801.378726,10793456.7561985,15.8586077506154,0.171351567996026,7714.46542176103,5513.801378726,10793.4567561985
"7",1984,3194696.23043501,2108135.46763775,4841284.7093702,14.9770025647275,0.212089669934038,3194.69623043501,2108.13546763775,4841.2847093702
"8",1985,2666018.3373536,1608789.46812264,4418013.61579015,14.7960966579243,0.257710902295851,2666.0183373536,1608.78946812264,4418.01361579015
"9",1986,1190446.88024437,637453.023989536,2223165.81983431,13.9898393242112,0.318681089906724,1190.44688024437,637.453023989535,2223.16581983431
"10",1987,2259258.6642509,1249441.33366472,4085225.59200243,14.6305472927689,0.302219949517064,2259.2586642509,1249.44133366472,4085.22559200243
"11",1988,2560989.03950495,1594640.94841684,4112941.45367078,14.7559040854009,0.241711037033504,2560.98903950495,1594.64094841684,4112.94145367078
"12",1989,4934267.73694602,3439874.29984551,7077874.35749028,15.4117148382689,0.184069377384073,4934.26773694602,3439.87429984551,7077.87435749028
"13",1990,5490717.61674851,3668939.72069852,8217082.38398984,15.5185695183767,0.205695741201747,5490.7176167485,3668.93972069852,8217.08238398984
"14",1991,6424096.95338038,4365776.58462118,9452847.81905807,15.6755666268641,0.197075041566007,6424.09695338038,4365.77658462118,9452.84781905807
"15",1992,6064217.77454059,4288431.28242634,8575335.54699919,15.6179161183476,0.176781086530931,6064.21777454059,4288.43128242634,8575.33554699919
"16",1993,7476641.18176602,5493086.62192805,10176457.6472779,15.8272942092312,0.157295404380295,7476.64118176602,5493.08662192805,10176.4576472779
"17",1994,5168127.94532471,3588131.76613845,7443858.8658607,15.4580210813604,0.186166102353484,5168.12794532471,3588.13176613846,7443.8588658607
"18",1995,4580122.09434882,3169754.40197372,6618026.42693076,15.3372362138898,0.187795056265888,4580.12209434882,3169.75440197372,6618.02642693076
"19",1996,6803021.56890006,4887496.55900415,9469285.9438758,15.7328774198205,0.1687207740517,6803.02156890006,4887.49655900415,9469.2859438758
"20",1997,7944496.69526959,5737676.67612341,11000101.836305,15.8879900073333,0.166036255665553,7944.49669526959,5737.67667612341,11000.101836305
"21",1998,6172406.6343632,4302735.21231807,8854508.06985761,15.635599374022,0.184104352192053,6172.4066343632,4302.73521231807,8854.50806985761
"22",1999,1552016.78056855,889170.538509641,2708992.2380961,14.2550657918888,0.284199846701027,1552.01678056855,889.170538509641,2708.9922380961
"23",2000,1989740.03836664,1136623.71146505,3483180.38797226,14.5035145541807,0.285689833700975,1989.74003836664,1136.62371146505,3483.18038797226
"24",2001,2280111.00022468,1399771.60038298,3714110.33908899,14.6397346840547,0.248940821979668,2280.11100022468,1399.77160038298,3714.11033908899
"25",2002,1353172.44246832,750406.570859282,2440111.44113373,14.1179623509668,0.300817730583843,1353.17244246832,750.406570859282,2440.11144113373
"26",2003,1274862.34576056,701147.211404093,2318021.05777958,14.0583487666368,0.305044187230144,1274.86234576056,701.147211404093,2318.02105777958
"27",2004,1249555.09002876,681856.839724625,2289905.78674455,14.0382981179441,0.30904808473946,1249.55509002876,681.856839724626,2289.90578674455
"28",2005,1340392.76473527,706122.163786301,2544393.66995766,14.1084732369907,0.327010957352028,1340.39276473527,706.122163786301,2544.39366995766
"29",2006,2857340.7334182,1852106.02091788,4408168.84921342,14.8654019367612,0.221212226814097,2857.3407334182,1852.10602091788,4408.16884921342
"30",2007,4358531.90635179,2975726.00212322,6383921.22296612,15.2876458398961,0.194721556818901,4358.53190635179,2975.72600212322,6383.92122296612
"31",2008,3605332.11020622,2393973.25693476,5429642.78620522,15.0979244493418,0.208911724095399,3605.33211020622,2393.97325693476,5429.64278620522
"32",2009,5102263.78081977,3528763.55187859,7377398.71383735,15.4451948778017,0.188134466627336,5102.26378081977,3528.76355187859,7377.39871383735
"33",2010,8468371.66077849,6140009.09267781,11679676.2842904,15.9518488003043,0.164039758804725,8468.37166077849,6140.00909267781,11679.6762842904
"34",2011,7505096.0706692,5312221.74802735,10603184.4493108,15.8310928238564,0.176315540785977,7505.0960706692,5312.22174802735,10603.1844493108
"35",2012,5103000.14945746,3515509.34450626,7407350.67766409,15.4453391893343,0.190128090908003,5103.00014945746,3515.50934450626,7407.35067766409
"36",2013,2472790.87639252,1549574.80974297,3946046.79936968,14.7208579802076,0.238456853761148,2472.79087639252,1549.57480974297,3946.04679936968
"37",2014,4308180.25076187,2859755.47775561,6490211.21470887,15.2760261573213,0.209075002755629,4308.18025076187,2859.75547775561,6490.21121470887
"38",2015,3634639.36153899,2260278.42057873,5844679.65015834,15.1060204512463,0.242362561958408,3634.63936153899,2260.27842057873,5844.67965015834
"39",2016,2777533.52775111,1726016.38162515,4469651.95690533,14.8370738716206,0.24273263881405,2777.53352775111,1726.01638162515,4469.65195690533
"40",2017,1027172.89285102,540341.998411146,1952622.88496983,13.8423208222112,0.327742386500805,1027.17289285102,540.341998411147,1952.62288496983
"41",2018,1397454.2591333,777651.181409493,2511252.41374959,14.1501627529808,0.299051109065217,1397.4542591333,777.651181409493,2511.25241374959
