"","Year","est","lwr","upr","log_est","se"
"1",1976,4296857.5635306,3327037.59399785,5549376.70514402,15.273394514321,0.130513449090493
"2",1979,1052010.60881713,707732.751580618,1563763.04274753,13.8662137566559,0.202244494228037
"3",1982,3068659.86325379,2269452.3915792,4149315.22304029,14.9367514976305,0.15393261143818
"4",1985,3585970.11903752,2614954.14426017,4917555.33184239,15.0925396004403,0.161116471149224
"5",1988,2766827.28880158,2092155.1763124,3659065.70063809,14.8332118386069,0.142608008788928
"6",1991,3209607.93027485,2195064.70733221,4693065.78146542,14.9816593475452,0.193849104913546
"7",1996,1856009.42975427,1189791.9644704,2895271.69976317,14.4339392730019,0.22686653758799
"8",1999,3497923.81485817,2290466.8559291,5341911.40241964,15.0676801546946,0.216031486325353
"9",2002,1810698.02904156,1214283.65240978,2700050.63962482,14.4092229803018,0.203859922460384
"10",2006,4068152.02577856,3044612.54825899,5435785.55317652,15.2186994065876,0.147867613790125
"11",2008,3401604.97455035,2466047.08797097,4692090.61713662,15.0397579295435,0.16410039912859
"12",2010,1761700.0543494,982830.854437837,3157803.87589671,14.3817898407658,0.297759311809224
"13",2011,2865941.25460934,2152554.57042981,3815754.26133411,14.8684073898152,0.146044276830766
"14",2014,6539945.87737085,4420587.5926811,9675386.17484995,15.6934394477678,0.199828295886193
"15",2017,2201302.71262564,1581696.55230666,3063630.39455718,14.6045598851841,0.168651715838349
"16",2018,1255827.77168599,807390.325050571,1953334.5188884,14.043305492154,0.225383216811498
"17",2019,4662220.89004246,3682422.40751945,5902718.7058071,15.3550024784169,0.120370131175773
"18",2020,1662831.0631733,1171537.01591471,2360153.46258196,14.3240321674306,0.178679321016723
"19",2021,1923929.91693042,1407881.80478932,2629131.44602631,14.4698804838325,0.15933130383078
"20",2022,4636758.99266029,2942693.60993542,7306072.87263176,15.3495261871814,0.231989096252242
"21",2023,3247593.61292375,2507364.50706449,4206354.61855958,14.9934248532619,0.13198308387965
"22",2024,3433919.12897809,1777691.28418857,6633210.55193451,15.0492127700685,0.335917764929076
