"","Year","est","lwr","upr","log_est","se"
"1",2010,2226523.14005459,1108985.96995025,4470214.61725159,14.6159517967079,0.355616321031943
"8",2017,1840070.0779315,905908.636732098,3737526.89224017,14.4253142146923,0.361547703325493
"10",2019,4627335.95856458,2697756.24269379,7937054.40638477,15.3474918735447,0.275291236747334
"12",2021,2651399.60226029,1386786.86200563,5069214.34249747,14.7905982103357,0.330668418554575
"13",2022,5725634.61687454,3318574.43334238,9878606.74046536,15.5604639513702,0.278279649289717
"14",2023,2086810.30742718,1048203.32566026,4154515.7819846,14.5511472894641,0.351312144925
