"","Year","est","lwr","upr","log_est","se"
"1",2010,2178226.22767174,1066801.70471205,4447564.60170613,14.5940214465354,0.364213721736529
"8",2017,1803786.55313039,838233.087468912,3881552.73025378,14.4053986539406,0.391000636674684
"10",2019,4546696.97077336,2460163.30595074,8402878.4975519,15.3299115868154,0.313359480797548
"12",2021,2410413.1088334,1125712.74683231,5161255.7213953,14.6953087052308,0.388467219543703
"13",2022,5548890.4730555,2946003.97632844,10451508.4600597,15.5291085509722,0.323040795761817
"14",2023,2036501.80079684,924702.133587698,4485054.62895141,14.5267440903309,0.402822271054876
