"","Year","est","lwr","upr","log_est","se"
"1",2010,2157642.8545342,1094628.94469845,4252968.7436732,14.5845269127416,0.34623131729857
"8",2017,1731235.52862685,833566.759607609,3595604.57639982,14.364345889967,0.372903187128168
"10",2019,4464711.61283603,2530122.09531956,7878532.74854518,15.3117151818162,0.289769132360178
"12",2021,2498364.23375423,1282101.42020756,4868432.20522438,14.7311467691882,0.340381634657835
"13",2022,5475569.51834385,3173372.02368161,9447950.42197186,15.5158068498723,0.278322226231386
"14",2023,2015799.55080933,995473.035920575,4081926.56397306,14.516526474068,0.359982715743749
